program_id,program_sub,achievement_name,winner_count
4,15,Best Financial Analyst,3
,,Most Creative Poster,3
,,Best Presentation Award,3
,16,Best Presentation Award,3
,,Most Creative Poster,3
,,Best Innovative Solution,3
3,,The Most Innovative Product Competition,3
,,The Most Attractive Booth Competition,3
,,The Most Influential Promotional Strategies Competition,3
2,10,Best Digital Storefront Award,2
,11,Best Social Media Strategy Award,2
,12,Best AI Video Marketing Award,2
,13,Best Corporate Portfolio Award,2
,1,E-Preneur Excellence Award,2
,17,SAE Nextgen E-Preneur Award,8
,14,The Social Impact Excellent Award ,1
,,Best Presentation Award,1
,,Social Innovator Award,1
8,,Best Sustainable Solution Award,1
5,,Interview Excellence Award,3
,,Best Presentation Award,2
,,Best Young Entrepreneur Award,3
,,Best Business Idea,2
,,Best Product/ Service,2
